"","Street.Name","From","To","Block","Ward","Overall","Crack","Patch","Length","Width","Date.R8d","DLO","P","O.L","Flush_Oil","Class","Pvmt"
"132","Atlantic Ave","Shirley","Valley","600","13",7,4,3,410,25,"4/15","1991","",NA,"O","Local","Base and Curbs"
"133","Audubon Pkwy","Northway","Hazelwood","300","17",6,3,4,367,30,"5/14","1999","",NA,"O","Local","Base and Curbs"
"134","Audubon Pkwy","Hazelwood","Mountainview","400","17",7,3,4,323,30,"3/06","1999","",NA,"O","Local","Base and Curbs"
"135","Audubon Pkwy","Mountainview","Fayette Blvd.","500","17",5,3,3,587,30,"5/14","1980","",NA,"O","Local","Base and Curbs"
"136","Audubon Pkwy","Fayette Blvd.","Salt Springs Rd.","600","17",5,2,4,704,46,"5/14","1985","",NA,"O","Local","Base and Curbs"
"137","Austin Ave.","Bellevue","Glenwood","100","11",7,3,5,1637,23,"4/14","2003","1990",NA,"O","Local","Base and Curbs"
"138","Avery Ave., N.","Tompkins","Ulster","100","8",5,3,4,513,36,"4/15","2000","",NA,"F","Collector","No Base 3 Asphalt"
"139","Avery Ave., N.","Ulster","Schuyler","200","7",5,3,3,411,36,"4/15","2000","1992",NA,"F","Collector","No Base 3 Asphalt"
"140","Avery Ave., N.","Schuyler","Hamilton","300","7",5,2,5,411,36,"4/15","2000","1987",NA,"F","Collector","No Base 3 Asphalt"
"141","Avery Ave., N.","Hamilton","Cayuga","400","7",5,2,4,381,36,"4/15","2000","",NA,"F","Collector","No Base 3 Asphalt"
"142","Avery Ave., N.","Cayuga","W. Genesee","500","7",5,2,4,440,36,"6/15","2015","2004",NA,"F","Collector","No Base 3 Asphalt"
"143","Avery Ave., N.","W. Genesee","Erie St.","600","7",10,5,5,425,36,"6/15","2015","2004",NA,"F","Collector","No Base 3 Asphalt"
"144","Avery Ave., N.","Erie St.","Herkimer","700","7",10,5,5,484,36,"6/15","2015","2004",NA,"F","Collector","No Base 3 Asphalt"
"145","Avery Ave., N.","Herkimer","Driscoll","800","7",10,5,5,704,36,"6/15","2015","2004",NA,"F","Collector","No Base 3 Asphalt"
"146","Avery Ave., N.","Driscoll","Essex","900","7",10,5,5,625,36,"9/14","2004","2000",NA,"F","Collector","No Base 3 Asphalt"
"147","Avery Ave., N.","Essex","Chemung","1000","7",5,2,3,461,36,"9/14","2004","2000",NA,"F","Collector","No Base 3 Asphalt"
"148","Avery Ave., N.","Chemung","Kincaid","1100","7",5,3,3,645,36,"9/14","2004","2000",NA,"F","Collector","No Base 3 Asphalt"
"149","Avery Ave., N.","Kincaid","Milton","1200","7",4,2,2,455,36,"4/15","1996","",NA,"F","Collector","No Base 3 Asphalt"
"150","Avery Ave., S.","Tompkins","Tennyson","100","8",6,2,4,352,36,"4/15","1996","",NA,"F","Collector","No Base 3 Asphalt"
"151","Avery Ave., S.","Tennyson","Bryant","200","8",5,2,4,264,36,"4/15","1996","",NA,"F","Collector","No Base 3 Asphalt"
"152","Avery Ave., S.","Bryant","Whittier/Salisbury","300","8",5,3,3,1877,36,"4/15","1996","",NA,"F","Collector","No Base Full Asphalt"
"153","Avery Ave., S.","Whittier/Salisbury","Yale","400","8",6,3,3,NA,NA,"","1980","",NA,"F","Collector","No Base Full Asphalt"
"154","Avery Ave., S.","Yale","Grand","600","8",6,3,3,422,27,"6/14","1980","",NA,"O","Local","Base and Curbs"
"155","Avoca St.","Ulster","Tompkins","100","8",3,2,3,685,28,"4/14","2001","1993",NA,"O","Local","Base and Curbs"
"156","Avon Rd.","Nichols","Moseley","100","5",5,2,3,561,25,"6/15","2002","",NA,"F","Local","No Base Full Asphalt"
